Search Key,Name,Description,Account Type,Account Sign,Document Controlled,Summary Level,Default Account,Parent_Value,Element Level,Operands,Show Value Condition,Title Node
E040102,Wages,Wages,Expense,Debit,true,false,,E0401,S,,Algebraic,false
E040103,Dearness Allowance,Dearness Allowance,Expense,Debit,true,false,,E0401,S,,Algebraic,false
E040104,House Rent Allowance,House Rent Allowance,Expense,Debit,true,false,,E0401,S,,Algebraic,false
E040105,Transport Allowance,Transport Allowance,Expense,Debit,true,false,,E0401,S,,Algebraic,false
E040106,Medical Allowance,Medical Allowance,Expense,Debit,true,false,,E0401,S,,Algebraic,false
E040107,Leave Travel Allowance,Leave Travel Allowance,Expense,Debit,true,false,,E0401,S,,Algebraic,false
E040108,Bonus Payable,Bonus Payable,Expense,Debit,true,false,,E0401,S,,Algebraic,false
E040109,Overtime Payable,Overtime Payable,Expense,Debit,true,false,,E0401,S,,Algebraic,false
E0402,Contribution to PF and other funds,Contribution to PF and other funds,Expense,Debit,false,true,,E04,C,,Algebraic,false
E040201,Employer Contribution to PF,Employer Contribution to PF,Expense,Debit,true,false,,E0402,S,,Algebraic,false
E040202,Employer Contribution to ESIC,Employer Contribution to ESIC,Expense,Debit,true,false,,E0402,S,,Algebraic,false
E05,Financial Expenses,Financial Expenses,Expense,Debit,false,true,,E,D,,Algebraic,false
E0501,Interest,Interest,Expense,Debit,false,true,,E05,C,,Algebraic,false
E050101,TDS ? Interest on Rent,TDS ? Interest on Rent,Expense,Debit,true,false,,E0501,S,,Algebraic,false
E050102,TDS ? Interest on Professional Services,TDS ? Interest on Professional Services,Expense,Debit,true,false,,E0501,S,,Algebraic,false
E050103,TDS ? Interest on Contract,TDS ? Interest on Contract,Expense,Debit,true,false,,E0501,S,,Algebraic,false
E0502,Bank Charges,Bank Charges,Expense,Debit,false,true,,E05,C,,Algebraic,false
E050201,Bank Charges,Bank Charges,Expense,Debit,true,false,B_EXPENSE_ACCT,E0502,S,,Algebraic,false
E0503,Penalty,Penalty,Expense,Debit,false,true,,E05,C,,Algebraic,false
E050301,TDS ? Penalty on Rent,TDS ? Penalty on Rent,Expense,Debit,true,false,,E0503,S,,Algebraic,false
E050302,TDS ? Penalty on Professional Services,TDS ? Penalty on Professional Services,Expense,Debit,true,false,,E0503,S,,Algebraic,false
E050303,TDS ? Penalty on Contract,TDS ? Penalty on Contract,Expense,Debit,true,false,,E0503,S,,Algebraic,false
E06,Depreciation and amortization expense,Depreciation and amortization expense,Expense,Debit,false,true,,E,D,,Algebraic,false
E0601,Building,Building,Expense,Debit,false,true,,E06,C,,Algebraic,false
E0602,Plant & Machinery,Plant & Machinery,Expense,Debit,false,true,,E06,C,,Algebraic,false
E0603,Furniture & Fittings,Furniture & Fittings,Expense,Debit,false,true,,E06,C,,Algebraic,false
E0604,Vehicles,Vehicles,Expense,Debit,false,true,,E06,C,,Algebraic,false
E0605,Software,Software,Expense,Debit,false,true,,E06,C,,Algebraic,false
E0606,Other Assets,Other Assets,Expense,Debit,false,true,,E06,C,,Algebraic,false
